overlay,id_exp_icpms,name_isotope_analyte,name_isotope_internalstandard,id_data_icpms,t_delaycorrected__timestamp_sfc_pc_synchronized__s,dm_dt_S__ng_s_cm2geo_fc_top_cell_Aideal
first,190,Ti47,Sc45,49214,15.349757,-0.0009206184051681328
first,190,Ti47,Sc45,49215,15.553859,-0.0010661591720401097
first,190,Ti47,Sc45,49216,15.75796,-0.001502804372809024
first,190,Ti47,Sc45,49217,15.962062,-0.0009205873260730738
first,190,Ti47,Sc45,49218,16.166164,-0.0007750242039726723
first,190,Ti47,Sc45,49219,16.370265,-0.0019394397588327378
first,190,Ti47,Sc45,49220,16.574367,-0.0015027716573593486
first,190,Ti47,Sc45,49221,16.778468,-0.001648317876381414
first,190,Ti47,Sc45,49222,16.98257,-0.0007749805827194666
first,190,Ti47,Sc45,49223,17.186671,-0.0010660806543726037
first,190,Ti47,Sc45,49224,17.389796,-0.0017938510086598367
first,190,Ti47,Sc45,49225,17.593898,-4.716497017480723e-05
first,190,Ti47,Sc45,49226,17.798,-0.001648279706783943
first,190,Ti47,Sc45,49227,18.002101,-0.0016482720726928575
first,190,Ti47,Sc45,49228,18.206203,0.00024399235679377647
first,190,Ti47,Sc45,49229,18.410304,-0.0017938155646655093
first,190,Ti47,Sc45,49230,18.614406,-0.000629334030660136
first,190,Ti47,Sc45,49231,18.818507,-0.0017938013866959836
first,190,Ti47,Sc45,49232,19.022609,-0.001502673505127332
first,190,Ti47,Sc45,49233,19.22671,-0.0009204215591009407
first,190,Ti47,Sc45,49234,19.430812,-0.0003381652504466961
first,190,Ti47,Sc45,49235,19.633937,-0.0015026489656904043
first,190,Ti47,Sc45,49236,19.838039,-0.0016482033632990785
first,190,Ti47,Sc45,49237,20.04214,-0.0012115063600060569
first,190,Ti47,Sc45,49238,20.246242,-0.0006292424164190367
first,190,Ti47,Sc45,49239,20.450343,-0.00106592360491794
first,190,Ti47,Sc45,49240,20.654445,-0.002084867243833691
first,190,Ti47,Sc45,49241,20.858546,-0.0006292083323385213
first,190,Ti47,Sc45,49242,21.062648,-0.0012114602263915506
first,190,Ti47,Sc45,49243,21.26675,-0.000338052663457066
first,190,Ti47,Sc45,49244,21.470851,-0.0009203078294916325
first,190,Ti47,Sc45,49245,21.673976,-0.0007747299948404576
first,190,Ti47,Sc45,49246,21.878078,-0.001211423141664854
first,190,Ti47,Sc45,49247,22.082179,-0.0013569824337565323
first,190,Ti47,Sc45,49248,22.286281,-0.0006291281635848612
first,190,Ti47,Sc45,49249,22.490382,-0.0016481042900113186
first,190,Ti47,Sc45,49250,22.694484,-0.001793666854198944
first,190,Ti47,Sc45,49251,22.898585,-0.001648089019143202
first,190,Ti47,Sc45,49252,23.102687,0.00024434539128476027
first,190,Ti47,Sc45,49253,23.306789,-0.0006290708976148683
first,190,Ti47,Sc45,49254,23.51089,-0.0016480661124119204
first,190,Ti47,Sc45,49255,23.714015,-0.0003379021374563245
first,190,Ti47,Sc45,49256,23.918117,-0.0012113304249850912
first,190,Ti47,Sc45,49257,24.122218,-0.0003378770484736042
first,190,Ti47,Sc45,49258,24.32632,-0.0012113118808154283
first,190,Ti47,Sc45,49259,24.530421,-0.0009201523921225452
first,190,Ti47,Sc45,49260,24.734523,0.0002444632004210381
first,190,Ti47,Sc45,49261,24.938625,-0.0022303174578094703
first,190,Ti47,Sc45,49262,25.142726,-0.0004833910689168675
first,190,Ti47,Sc45,49263,25.346828,-0.00019222448928506427
first,190,Ti47,Sc45,49264,25.550929,-0.0016479897529218539
first,190,Ti47,Sc45,49265,25.754054,0.0003901148519597451
first,190,Ti47,Sc45,49266,25.958156,-0.0016479746621550241
first,190,Ti47,Sc45,49267,26.162257,-0.0012112286493930647
first,190,Ti47,Sc45,49268,26.366359,-0.00033773935105256455
first,190,Ti47,Sc45,49269,26.57046,-0.00033772680538836575
first,190,Ti47,Sc45,49270,26.774562,0.0002446101211139863
first,190,Ti47,Sc45,49271,26.978664,-0.0012111915577251494
first,190,Ti47,Sc45,49272,27.182765,-0.0007744357262330658
first,190,Ti47,Sc45,49273,27.386867,-0.0006288420850190352
first,190,Ti47,Sc45,49274,27.590968,-0.0009199971840487656
first,190,Ti47,Sc45,49275,27.794093,9.909993832942143e-05
first,190,Ti47,Sc45,49276,27.998195,-4.647024694980627e-05
first,190,Ti47,Sc45,49277,28.202296,-4.645660954074601e-05
first,190,Ti47,Sc45,49278,28.406398,-0.0012111266446309158
first,190,Ti47,Sc45,49279,28.6105,0.0008270866930622696
first,190,Ti47,Sc45,49280,28.814601,-0.001065521547318776
first,190,Ti47,Sc45,49281,29.018703,0.0011182947059259415
first,190,Ti47,Sc45,49282,29.222804,-0.0006287389854338967
first,190,Ti47,Sc45,49283,29.426906,-0.0010654920894114463
first,190,Ti47,Sc45,49284,29.631007,0.0005359937838391891
first,190,Ti47,Sc45,49285,29.835109,9.924177110374193e-05
first,190,Ti47,Sc45,49286,30.038234,0.00024484577819172785
first,190,Ti47,Sc45,49287,30.242335,9.927013893410859e-05
first,190,Ti47,Sc45,49288,30.446437,-0.0009198520771229481
first,190,Ti47,Sc45,49289,30.650539,-4.6292952660282546e-05
first,190,Ti47,Sc45,49290,30.85464,-0.00019187131932201938
first,190,Ti47,Sc45,49291,31.058742,0.00039051197777652534
first,190,Ti47,Sc45,49292,31.262843,0.0009728996394346813
first,190,Ti47,Sc45,49293,31.466945,-0.00019183203916864127
first,190,Ti47,Sc45,49294,31.671046,0.0002449636173271988
first,190,Ti47,Sc45,49295,31.875148,0.0006817625473408771
first,190,Ti47,Sc45,49296,32.078273,-0.0009197693988521652
first,190,Ti47,Sc45,49297,32.282375,-4.618416464659423e-05
first,190,Ti47,Sc45,49298,32.486476,-0.00019176688204619214
first,190,Ti47,Sc45,49299,32.690578,-0.0009197383006712857
first,190,Ti47,Sc45,49300,32.894679,0.0005362465468356146
first,190,Ti47,Sc45,49301,33.098781,0.00068186036279636
first,190,Ti47,Sc45,49302,33.302882,-4.611596585928158e-05
first,190,Ti47,Sc45,49303,33.506984,0.00024509584405395994
first,190,Ti47,Sc45,49304,33.711085,-0.00019168831615998738
first,190,Ti47,Sc45,49305,33.915187,0.0012643265399173672
first,190,Ti47,Sc45,49306,34.118312,0.0003907407602809851
first,190,Ti47,Sc45,49307,34.322414,0.0006819585723622161
first,190,Ti47,Sc45,49308,34.526515,0.0018467894450422942
first,190,Ti47,Sc45,49309,34.730617,9.958187536230988e-05
first,190,Ti47,Sc45,49310,34.934718,-0.0004828155552547786
first,190,Ti47,Sc45,49311,35.13882,-0.0006284070011709161
first,190,Ti47,Sc45,49312,35.342921,0.0008276444125723968
first,190,Ti47,Sc45,49313,35.547023,0.0006820567863444957
first,190,Ti47,Sc45,49314,35.751125,0.0003908629821256118
first,190,Ti47,Sc45,49315,35.955226,-0.0009195724318972389
first,190,Ti47,Sc45,49316,36.158351,-4.592499565825222e-05
first,190,Ti47,Sc45,49317,36.362453,0.0005365155409965525
first,190,Ti47,Sc45,49318,36.566554,0.0006821386347036004
first,190,Ti47,Sc45,49319,36.770656,0.0017014097105957347
first,190,Ti47,Sc45,49320,36.974757,9.973793173074898e-05
first,190,Ti47,Sc45,49321,37.178859,0.0006821877451913755
first,190,Ti47,Sc45,49322,37.38296,0.001264641924200469
first,190,Ti47,Sc45,49323,37.587062,0.00228393046231101
first,190,Ti47,Sc45,49324,37.791164,-0.00019142640435504646
first,190,Ti47,Sc45,49325,37.995265,0.0014103086736375946
first,190,Ti47,Sc45,49326,38.199367,0.001992773805948334
first,190,Ti47,Sc45,49327,38.402492,0.002138407255892516
first,190,Ti47,Sc45,49328,38.606593,0.0017015909441066498
first,190,Ti47,Sc45,49329,38.810695,0.0012647713582315966
first,190,Ti47,Sc45,49330,39.014796,0.0014104037172162865
first,190,Ti47,Sc45,49331,39.218898,0.0021384945696276705
first,190,Ti47,Sc45,49332,39.423,0.0006823674366256323
first,190,Ti47,Sc45,49333,39.627101,0.0021385382274769324
first,190,Ti47,Sc45,49334,39.831203,0.0015560961060913975
first,190,Ti47,Sc45,49335,40.035304,0.0009736496190027467
first,190,Ti47,Sc45,49336,40.239406,0.0011192841617102612
first,190,Ti47,Sc45,49337,40.442531,0.0017017726705853109
first,190,Ti47,Sc45,49338,40.646632,0.0031579745691411227
first,190,Ti47,Sc45,49339,40.850734,0.0006824820414864876
first,190,Ti47,Sc45,49340,41.054835,0.0017018332488025153
first,190,Ti47,Sc45,49341,41.258937,0.002575572288993476
first,190,Ti47,Sc45,49342,41.463039,0.0011193922205567546
first,190,Ti47,Sc45,49343,41.66714,0.002721240124085641
first,190,Ti47,Sc45,49344,41.871242,0.002575642692816225
first,190,Ti47,Sc45,49345,42.075343,0.0021388001883170162
first,190,Ti47,Sc45,49346,42.279445,0.001410709335905697
first,190,Ti47,Sc45,49347,42.48257,0.0015563515207822327
first,190,Ti47,Sc45,49348,42.686671,0.0012651239125411693
first,190,Ti47,Sc45,49349,42.890773,0.0017020149916277254
first,190,Ti47,Sc45,49350,43.094875,0.0009739111708703955
first,190,Ti47,Sc45,49351,43.298976,0.002284555910430003
first,190,Ti47,Sc45,49352,43.503078,0.0033039588776315725
first,190,Ti47,Sc45,49353,43.707179,0.004032116797744279
first,190,Ti47,Sc45,49354,43.911281,0.0027215037149388166
first,190,Ti47,Sc45,49355,44.115382,0.0017021356794840637
first,190,Ti47,Sc45,49356,44.319484,0.0025759237651228617
first,190,Ti47,Sc45,49357,44.522609,0.002867204290612346
first,190,Ti47,Sc45,49358,44.72671,0.0035953742197038984
first,190,Ti47,Sc45,49359,44.930812,0.003449771892071754
first,190,Ti47,Sc45,49360,45.134914,0.0034497986380123587
first,190,Ti47,Sc45,49361,45.339015,0.003449825384153458
first,190,Ti47,Sc45,49362,45.543117,0.0047605334409978285
first,190,Ti47,Sc45,49363,45.747218,0.0031586152718964884
first,190,Ti47,Sc45,49364,45.95132,0.00519749380484636
first,190,Ti47,Sc45,49365,46.155421,0.003449932370722839
first,190,Ti47,Sc45,49366,46.359523,0.004760660079110902
first,190,Ti47,Sc45,49367,46.562648,0.0025761819491959192
first,190,Ti47,Sc45,49368,46.76675,0.000974225570953334
first,190,Ti47,Sc45,49369,46.970851,0.0033044042827572607
first,190,Ti47,Sc45,49370,47.174953,0.002139345495870563
first,190,Ti47,Sc45,49371,47.379054,0.0034500928565921168
first,190,Ti47,Sc45,49372,47.583156,0.0031588461741695033
first,190,Ti47,Sc45,49373,47.787257,0.003887058137306103
first,190,Ti47,Sc45,49374,47.991359,0.0035958109093999074
first,190,Ti47,Sc45,49375,48.19546,0.0041783916164973844
first,190,Ti47,Sc45,49376,48.399562,0.0037415043982589147
first,190,Ti47,Sc45,49377,48.603664,0.003304613904810911
first,190,Ti47,Sc45,49378,48.806789,0.004469759306796757
first,190,Ti47,Sc45,49379,49.01089,0.0025764630699173395
first,190,Ti47,Sc45,49380,49.214992,0.0034503329620252875
first,190,Ti47,Sc45,49381,49.419093,0.0025765100189783854
first,190,Ti47,Sc45,49382,49.623195,0.0037416707854346204
first,190,Ti47,Sc45,49383,49.827296,0.006217624653424955
first,190,Ti47,Sc45,49384,50.031398,0.00461558599038248
first,190,Ti47,Sc45,49385,50.2355,0.005635123703643633
first,190,Ti47,Sc45,49386,50.439601,0.0046156482275172
first,190,Ti47,Sc45,49387,50.643703,0.003159230434970739
first,190,Ti47,Sc45,49388,50.846828,0.006946037459127294
first,190,Ti47,Sc45,49389,51.050929,0.00286798978836312
first,190,Ti47,Sc45,49390,51.255031,0.0038875400595427758
first,190,Ti47,Sc45,49391,51.459132,0.004761450899407699
first,190,Ti47,Sc45,49392,51.663234,0.0033050063560843093
first,190,Ti47,Sc45,49393,51.867335,0.004761514231745514
first,190,Ti47,Sc45,49394,52.071437,0.005926735601329769
first,190,Ti47,Sc45,49395,52.275539,0.006072420894782563
first,190,Ti47,Sc45,49396,52.47964,0.0033051111835945644
first,190,Ti47,Sc45,49397,52.683742,0.005781193355084759
first,190,Ti47,Sc45,49398,52.886867,0.00519862525720957
first,190,Ti47,Sc45,49399,53.090968,0.004324749906006866
first,190,Ti47,Sc45,49400,53.29507,0.0050530398800379
first,190,Ti47,Sc45,49401,53.499171,0.007092208127697347
first,190,Ti47,Sc45,49402,53.703273,0.006218330047280864
first,190,Ti47,Sc45,49403,53.907375,0.004470523654003998
first,190,Ti47,Sc45,49404,54.111476,0.006509712650817523
first,190,Ti47,Sc45,49405,54.315578,0.004907548964588207
first,190,Ti47,Sc45,49406,54.519679,0.005490202239572114
first,190,Ti47,Sc45,49407,54.723781,0.0037423669082308764
first,190,Ti47,Sc45,49408,54.926906,0.00578158290819095
first,190,Ti47,Sc45,49409,55.131007,0.005635961510531618
first,190,Ti47,Sc45,49410,55.335109,0.00709257081740197
first,190,Ti47,Sc45,49411,55.53921,0.005053399475608597
first,190,Ti47,Sc45,49412,55.743312,0.004470798126004267
first,190,Ti47,Sc45,49413,55.947414,0.005490442224160291
first,190,Ti47,Sc45,49414,56.151515,0.005344817005478049
first,190,Ti47,Sc45,49415,56.355617,0.005344850861225349
first,190,Ti47,Sc45,49416,56.559718,0.005199224004869468
first,190,Ti47,Sc45,49417,56.76382,0.0054905798319071315
first,190,Ti47,Sc45,49418,56.966945,0.008695173933452949
first,190,Ti47,Sc45,49419,57.171046,0.007675583895956093
first,190,Ti47,Sc45,49420,57.375148,0.007238637800298916
first,190,Ti47,Sc45,49421,57.57925,0.007530005642156622
first,190,Ti47,Sc45,49422,57.783351,0.006219071791545489
first,190,Ti47,Sc45,49423,57.987453,0.0059277798560359715
first,190,Ti47,Sc45,49424,58.191554,0.006656141303560613
first,190,Ti47,Sc45,49425,58.395656,0.00825850197510185
first,190,Ti47,Sc45,49426,58.599757,0.007238883543158237
first,190,Ti47,Sc45,49427,58.803859,0.006364924185353487
first,190,Ti47,Sc45,49428,59.00796,0.005345291009041013
first,190,Ti47,Sc45,49429,59.211085,0.007384674230302356
first,190,Ti47,Sc45,49430,59.415187,0.0073847157355636265
first,190,Ti47,Sc45,49431,59.619289,0.007093419433503348
first,190,Ti47,Sc45,49432,59.82339,0.006510782047341231
first,190,Ti47,Sc45,49433,60.027492,0.004908450319844971
first,190,Ti47,Sc45,49434,60.231593,0.006656529048626828
first,190,Ti47,Sc45,49435,60.435695,0.007239252178177133
first,190,Ti47,Sc45,49436,60.639796,0.00680227729938214
first,190,Ti47,Sc45,49437,60.843898,0.008259038298757572
first,190,Ti47,Sc45,49438,61.048,0.00811341036961939
first,190,Ti47,Sc45,49439,61.251125,0.005928355708953262
first,190,Ti47,Sc45,49440,61.455226,0.008987541684429065
first,190,Ti47,Sc45,49441,61.659328,0.006219776507295901
first,190,Ti47,Sc45,49442,61.863429,0.005928463849981278
first,190,Ti47,Sc45,49443,62.067531,0.0076766052332476135
first,190,Ti47,Sc45,49444,62.271632,0.004617452027952315
first,190,Ti47,Sc45,49445,62.475734,0.007093984289484557
first,190,Ti47,Sc45,49446,62.679835,0.009133503872040158
first,190,Ti47,Sc45,49447,62.883937,0.004617545425978195
first,190,Ti47,Sc45,49448,63.088039,0.0056373237881766295
first,190,Ti47,Sc45,49449,63.291164,0.005200322579612195
first,190,Ti47,Sc45,49450,63.495265,0.005928752237949511
first,190,Ti47,Sc45,49451,63.699367,0.0054917488450905725
first,190,Ti47,Sc45,49452,63.903468,0.006220185058449433
first,190,Ti47,Sc45,49453,64.10757,0.008114073987172189
first,190,Ti47,Sc45,49454,64.311671,0.008988206948026468
first,190,Ti47,Sc45,49455,64.515773,0.006803024483590091
first,190,Ti47,Sc45,49456,64.719875,0.0057832859949885854
first,190,Ti47,Sc45,49457,64.923976,0.007531518598367599
first,190,Ti47,Sc45,49458,65.128078,0.0063660915564971695
first,190,Ti47,Sc45,49459,65.331203,0.010299602215095094
first,190,Ti47,Sc45,49460,65.535304,0.007385960049686088
first,190,Ti47,Sc45,49461,65.739406,0.006948944785673269
first,190,Ti47,Sc45,49462,65.943507,0.009571329237444902
first,190,Ti47,Sc45,49463,66.147609,0.009862751658809558
first,190,Ti47,Sc45,49464,66.35171,0.006949064415917069
first,190,Ti47,Sc45,49465,66.555812,0.00709479174178599
first,190,Ti47,Sc45,49466,66.759914,0.008843088103204347
first,190,Ti47,Sc45,49467,66.964015,0.008114692377374043
first,190,Ti47,Sc45,49468,67.168117,0.0069492239270954395
first,190,Ti47,Sc45,49469,67.372218,0.008406160141876931
first,190,Ti47,Sc45,49470,67.575343,0.005492401885384724
first,190,Ti47,Sc45,49471,67.779445,0.008989013730405556
first,190,Ti47,Sc45,49472,67.983546,0.008843369985463942
first,190,Ti47,Sc45,49473,68.187648,0.008697725148283177
first,190,Ti47,Sc45,49474,68.39175,0.008697771583943362
first,190,Ti47,Sc45,49475,68.595851,0.008552125108553426
first,190,Ti47,Sc45,49476,68.799953,0.0095720252025591
first,190,Ti47,Sc45,49477,69.004054,0.010154850933239536
first,190,Ti47,Sc45,49478,69.208156,0.009135040981089217
first,190,Ti47,Sc45,49479,69.412257,0.00680396751084563
first,190,Ti47,Sc45,49480,69.615382,0.008115267633258776
first,190,Ti47,Sc45,49481,69.819484,0.008552400453995346
first,190,Ti47,Sc45,49482,70.023585,0.00782396266783216
first,190,Ti47,Sc45,49483,70.227687,0.010300859622487168
