Summary,Value,Material,Run,Peak,Unit,Description
Ti47 third peak 6 ln(std),1.237328013514771,Ti47,third,6.0,,ln(std)
Ti47 third peak 6 ln(std) error,0.027949669212542744,Ti47,third,6.0,,ln(std) error
Ti47 third peak 6 xc / s,1091.3887843406771,Ti47,third,6.0,s,xc / s
Ti47 third peak 6 xc error / s,29.272938335258015,Ti47,third,6.0,s,xc error / s
Ti47 third peak 6 mode / s,236.09296932593867,Ti47,third,6.0,s,mode / s
Ti47 third peak 6 mode error / s,17.514400058991786,Ti47,third,6.0,s,mode error / s
Ti47 third peak 6 mode potential / VvsRHE,1.2002669807460324,Ti47,third,6.0,VvsRHE,mode potential / VvsRHE
Ti47 third peak 6 mode potential error / VvsRHE,3.0871642324736825e-06,Ti47,third,6.0,VvsRHE,mode potential error / VvsRHE
Ti47 third peak 1 area_single / ng cm-2,3.0945278401753282,Ti47,third,1.0,ng cm-2,area_single / ng cm-2
Ti47 third peak 1 area_single error / ng cm-2,0.12282052953087393,Ti47,third,1.0,ng cm-2,area_single error / ng cm-2
Ti47 third peak 1 ln(std)_single,0.42775951591091066,Ti47,third,1.0,,ln(std)_single
Ti47 third peak 1 ln(std)_single error,0.015374679080546086,Ti47,third,1.0,,ln(std)_single error
Ti47 third peak 1 xc_single / s,99.2729120364106,Ti47,third,1.0,s,xc_single / s
Ti47 third peak 1 xc_single error / s,1.090070391947505,Ti47,third,1.0,s,xc_single error / s
Ti47 third peak 1 mode_single / s,82.67312184021436,Ti47,third,1.0,s,mode_single / s
Ti47 third peak 1 mode_single error / s,1.4165416653702554,Ti47,third,1.0,s,mode_single error / s
Ti47 third peak 1 mode_single potential / VvsRHE,1.2002748976471576,Ti47,third,1.0,VvsRHE,mode_single potential / VvsRHE
Ti47 third peak 1 mode_single potential error / VvsRHE,8.500424488744329e-07,Ti47,third,1.0,VvsRHE,mode_single potential error / VvsRHE
Ti47 third peak 1 R2adj,0.8427258488533858,Ti47,third,1.0,,R2adj
Ti47 third peak 2 area_single / ng cm-2,2.925051392841884,Ti47,third,2.0,ng cm-2,area_single / ng cm-2
Ti47 third peak 2 area_single error / ng cm-2,0.08639402632278938,Ti47,third,2.0,ng cm-2,area_single error / ng cm-2
Ti47 third peak 2 ln(std)_single,0.08171052918518032,Ti47,third,2.0,,ln(std)_single
Ti47 third peak 2 ln(std)_single error,0.0024573798674940254,Ti47,third,2.0,,ln(std)_single error
Ti47 third peak 2 xc_single / s,472.92615163521856,Ti47,third,2.0,s,xc_single / s
Ti47 third peak 2 xc_single error / s,0.14354480932961086,Ti47,third,2.0,s,xc_single error / s
Ti47 third peak 2 mode_single / s,469.77912531284403,Ti47,third,2.0,s,mode_single / s
Ti47 third peak 2 mode_single error / s,0.23648137646210898,Ti47,third,2.0,s,mode_single error / s
Ti47 third peak 2 mode_single potential / VvsRHE,1.9583668074780247,Ti47,third,2.0,VvsRHE,mode_single potential / VvsRHE
Ti47 third peak 2 mode_single potential error / VvsRHE,0.001164842137282962,Ti47,third,2.0,VvsRHE,mode_single potential error / VvsRHE
Ti47 third peak 2 R2adj,0.8820387808291623,Ti47,third,2.0,,R2adj
Ti47 third peak 3 area_single / ng cm-2,0.6036199439768102,Ti47,third,3.0,ng cm-2,area_single / ng cm-2
Ti47 third peak 3 area_single error / ng cm-2,0.00465549973337399,Ti47,third,3.0,ng cm-2,area_single error / ng cm-2
Ti47 third peak 3 ln(std)_single,0.01693624650560041,Ti47,third,3.0,,ln(std)_single
Ti47 third peak 3 ln(std)_single error,0.00014065496208665498,Ti47,third,3.0,,ln(std)_single error
Ti47 third peak 3 xc_single / s,879.4263310864955,Ti47,third,3.0,s,xc_single / s
Ti47 third peak 3 xc_single error / s,0.05923882420414954,Ti47,third,3.0,s,xc_single error / s
Ti47 third peak 3 mode_single / s,879.1741157374393,Ti47,third,3.0,s,mode_single / s
Ti47 third peak 3 mode_single error / s,0.05936977977083076,Ti47,third,3.0,s,mode_single error / s
Ti47 third peak 3 mode_single potential / VvsRHE,1.5113969983810027,Ti47,third,3.0,VvsRHE,mode_single potential / VvsRHE
Ti47 third peak 3 mode_single potential error / VvsRHE,0.00028623996203935853,Ti47,third,3.0,VvsRHE,mode_single potential error / VvsRHE
Ti47 third peak 3 R2adj,0.9914952422617392,Ti47,third,3.0,,R2adj
Ti47 third peak 4 area_single / ng cm-2,0.6094002778084867,Ti47,third,4.0,ng cm-2,area_single / ng cm-2
Ti47 third peak 4 area_single error / ng cm-2,0.03461629924026013,Ti47,third,4.0,ng cm-2,area_single error / ng cm-2
Ti47 third peak 4 ln(std)_single,0.019923328621983392,Ti47,third,4.0,,ln(std)_single
Ti47 third peak 4 ln(std)_single error,0.0011699681813493845,Ti47,third,4.0,,ln(std)_single error
Ti47 third peak 4 xc_single / s,1131.5048194900678,Ti47,third,4.0,s,xc_single / s
Ti47 third peak 4 xc_single error / s,0.2554677637468814,Ti47,third,4.0,s,xc_single error / s
Ti47 third peak 4 mode_single / s,1131.0557702005594,Ti47,third,4.0,s,mode_single / s
Ti47 third peak 4 mode_single error / s,0.26075340905423305,Ti47,third,4.0,s,mode_single error / s
Ti47 third peak 4 mode_single potential / VvsRHE,1.8519776509941575,Ti47,third,4.0,VvsRHE,mode_single potential / VvsRHE
Ti47 third peak 4 mode_single potential error / VvsRHE,0.001323148877789282,Ti47,third,4.0,VvsRHE,mode_single potential error / VvsRHE
Ti47 third peak 4 R2adj,0.610821855954497,Ti47,third,4.0,,R2adj
Ti47 third peak 5 area_single / ng cm-2,1.7949664193463195,Ti47,third,5.0,ng cm-2,area_single / ng cm-2
Ti47 third peak 5 area_single error / ng cm-2,0.20163094167395404,Ti47,third,5.0,ng cm-2,area_single error / ng cm-2
Ti47 third peak 5 ln(std)_single,0.06713300723406539,Ti47,third,5.0,,ln(std)_single
Ti47 third peak 5 ln(std)_single error,0.007498690276990351,Ti47,third,5.0,,ln(std)_single error
Ti47 third peak 5 xc_single / s,807.2052601206582,Ti47,third,5.0,s,xc_single / s
Ti47 third peak 5 xc_single error / s,1.5573973733319375,Ti47,third,5.0,s,xc_single error / s
Ti47 third peak 5 mode_single / s,803.5755001519088,Ti47,third,5.0,s,mode_single / s
Ti47 third peak 5 mode_single error / s,1.7487975041288597,Ti47,third,5.0,s,mode_single error / s
Ti47 third peak 5 mode_single potential / VvsRHE,1.8893978426678304,Ti47,third,5.0,VvsRHE,mode_single potential / VvsRHE
Ti47 third peak 5 mode_single potential error / VvsRHE,0.008763754045246763,Ti47,third,5.0,VvsRHE,mode_single potential error / VvsRHE
Ti47 third peak 5 R2adj,0.8223174037164204,Ti47,third,5.0,,R2adj
